Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta
1990-01-03 00:00:00,358.76,199737.2584000000000003183231,199987.6584000000000003183231,1,8,18950.0000,-2.178088
1990-01-04 00:00:00,355.66,199128.5314000000000007162270,199972.2314000000000007162270,2,18,37544.200,-5.212858000000001
1990-01-05 00:00:00,352.2,196940.2898000000000010345501,199959.8898000000000010345501,3,26,54568.3000,-9.842194
1990-01-08 00:00:00,353.79,199049.4628000000000014324540,199944.4628000000000014324540,4,36,75692.4000,-9.573132
1990-01-09 00:00:00,349.62,193727.9577000000000019497291,199924.4077000000000019497291,5,49,89200.0000,-18.496863
1990-01-10 00:00:00,347.31,193524.3942000000000021486811,199916.6942000000000021486811,6,54,96160.4000,-21.712283
1990-01-11 00:00:00,348.53,196440.1442000000000021486811,199916.6942000000000021486811,6,54,99076.1500,-17.534301
1990-01-12 00:00:00,339.93,174180.3942000000000021486811,199916.6942000000000021486811,6,54,76816.4000,-37.718463
1990-01-15 00:00:00,337.0,169644.3161000000000022680523,199912.0661000000000022680523,7,57,81819.4000,-46.20591
1990-01-16 00:00:00,340.75,182139.9661000000000022680523,199912.0661000000000022680523,7,57,94315.0500,-33.469283000000004
1990-01-17 00:00:00,337.4,170262.4161000000000022680523,199912.0661000000000022680523,7,57,82437.5000,-43.24795399999999
1990-01-18 00:00:00,338.19,178121.9530952800000042147432,177943.9030952800000042147432,1,3,9712.5000,-0.6820470000000001
1990-01-19 00:00:00,339.15,178292.4103952800000042545336,177942.3603952800000042545336,2,4,19143.8500,-0.786406
1990-01-22 00:00:00,330.38,177156.4176952800000042943240,177940.8176952800000042943240,3,5,27318.8000,-1.578344
1990-01-23 00:00:00,331.61,177472.0822952800000043739048,177937.7322952800000043739048,4,7,44093.8500,-1.792529
1990-01-24 00:00:00,330.25,178093.8468952800000044534856,177934.6468952800000044534856,5,9,61275.0000,-2.00798
