Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta
1990-01-03 00:00:00,358.76,199837.4033000000000043883119,199967.6033000000000043883119,1,21,19491.1500,-5.289269999999999
1990-01-04 00:00:00,355.66,199408.1066000000000087766238,199935.2066000000000087766238,2,42,38585.400,-12.230568000000002
1990-01-05 00:00:00,352.2,197016.3599000000000131649357,199902.8099000000000131649357,3,63,55518.7500,-22.418109
1990-01-08 00:00:00,353.79,199180.4099000000000131649357,199902.8099000000000131649357,3,63,57682.800,-19.8324
1990-01-09 00:00:00,349.62,193463.1238000000000113232089,199836.4738000000000113232089,4,106,71783.9000,-39.730784
1990-01-10 00:00:00,347.31,194560.4738000000000113232089,199836.4738000000000113232089,4,106,72881.2500,-43.282070000000004
1990-01-11 00:00:00,348.53,196024.0738000000000113232089,199836.4738000000000113232089,4,106,74344.8500,-39.61936
1990-01-12 00:00:00,339.93,183747.9738000000000113232089,199836.4738000000000113232089,4,106,62068.7500,-65.354695
1990-01-15 00:00:00,337.0,180989.3512000000000128352438,199777.8512000000000128352438,5,144,77418.7500,-83.652456
1990-01-16 00:00:00,340.75,189744.6512000000000128352438,199777.8512000000000128352438,5,144,86174.0500,-69.05273600000001
1990-01-17 00:00:00,337.4,184515.3169000000000131933573,199763.9669000000000131933573,6,153,89058.6000,-82.816272
1990-01-18 00:00:00,338.19,184669.2169000000000131933573,199763.9669000000000131933573,6,153,89212.5000,-77.22544599999999
1990-01-19 00:00:00,339.15,187044.9680000000000134718901,199753.1680000000000134718901,7,160,94705.3000,-71.54365599999998
1990-01-22 00:00:00,330.38,171283.4180000000000134718901,199753.1680000000000134718901,7,160,78943.7500,-114.44324900000001
1990-01-23 00:00:00,331.61,167949.0826000000000135514709,199750.0826000000000135514709,8,162,80150.0000,-109.334088
1990-01-24 00:00:00,330.25,171235.0399000000000135912613,199748.5399000000000135912613,9,163,85725.0000,-113.67316699999999
1990-01-25 00:00:00,326.08,158728.7899000000000135912613,199748.5399000000000135912613,9,163,73218.7500,-134.66219400000003
1990-01-26 00:00:00,325.8,161538.2045000000000136708421,199745.4545000000000136708421,10,165,80568.7500,-137.997344
1990-01-29 00:00:00,325.2,158225.9545000000000136708421,199745.4545000000000136708421,10,165,77256.5000,-142.61932600000003
1990-01-30 00:00:00,322.98,153844.4545000000000136708421,199745.4545000000000136708421,10,165,72875.0000,-158.044996
1990-01-31 00:00:00,329.08,168194.4545000000000136708421,199745.4545000000000136708421,10,165,87225.0000,-120.674045
1990-02-01 00:00:00,328.79,167044.4545000000000136708421,199745.4545000000000136708421,10,165,86075.0000,-122.27087099999999
1990-02-02 00:00:00,330.92,174928.9545000000000136708421,199745.4545000000000136708421,10,165,93959.5000,-108.75805699999998
1990-02-05 00:00:00,331.85,177336.4045000000000136708421,199745.4545000000000136708421,10,165,96366.9500,-101.61002399999998
1990-02-06 00:00:00,329.66,168185.2045000000000136708421,199745.4545000000000136708421,10,165,87215.7500,-116.63627700000002
1990-02-07 00:00:00,333.75,184491.4545000000000136708421,199745.4545000000000136708421,10,165,103522.0000,-86.576496
1990-02-08 00:00:00,332.96,183928.9545000000000136708421,199745.4545000000000136708421,10,165,102959.5000,-89.67136800000002
1990-02-09 00:00:00,333.62,182510.2045000000000136708421,199745.4545000000000136708421,10,165,101540.7500,-83.21680799999999
1990-02-12 00:00:00,330.08,167462.3545000000000136708421,199745.4545000000000136708421,10,165,86492.9000,-109.91458999999999
1990-02-13 00:00:00,331.02,179692.2045000000000136708421,199745.4545000000000136708421,10,165,98722.7500,-103.881212
1990-02-14 00:00:00,332.01,184519.4545000000000136708421,199745.4545000000000136708421,10,165,103550.0000,-92.864089
1990-02-15 00:00:00,334.89,200688.7977856250000175079764,198817.9477856250000175079764,6,59,42489.6000,-10.556203000000002
1990-02-16 00:00:00,332.72,200513.6561856250000178262995,198805.6061856250000178262995,7,67,60352.0000,-12.599468
1990-02-20 00:00:00,327.99,198163.8145856250000181446226,198793.2645856250000181446226,8,75,75914.5000,-19.211127
1990-02-21 00:00:00,327.67,198911.8145856250000181446226,198793.2645856250000181446226,8,75,76662.5000,-18.384565000000002
1990-02-22 00:00:00,325.7,197635.0145856250000181446226,198793.2645856250000181446226,8,75,75385.7000,-20.169807
