Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta
1990-01-03 00:00:00,358.76,199804.1022000000000005570655,199978.4022000000000005570655,1,14,19206.6000,-4.062352
1990-01-04 00:00:00,355.66,199497.5022000000000005570655,199978.4022000000000005570655,1,14,18900.000,-4.709474
1990-01-05 00:00:00,352.2,198622.5022000000000005570655,199978.4022000000000005570655,1,14,18025.0000,-5.733308
1990-01-08 00:00:00,353.79,199322.5022000000000005570655,199978.4022000000000005570655,1,14,18725.000,-5.116720000000001
1990-01-09 00:00:00,349.62,198229.1022000000000005570655,199978.4022000000000005570655,1,14,17631.6000,-6.322218
1990-01-10 00:00:00,347.31,198010.0022000000000005570655,199978.4022000000000005570655,1,14,17412.5000,-6.95401
1990-01-11 00:00:00,348.53,198273.2022000000000005570655,199978.4022000000000005570655,1,14,17675.7000,-6.454294
1990-01-12 00:00:00,339.93,195122.5022000000000005570655,199978.4022000000000005570655,1,14,14525.000,-10.055836000000001
1990-01-15 00:00:00,337.0,194838.2460000000000007958079,199969.1460000000000007958079,2,20,33318.9000,-12.655828
1990-01-16 00:00:00,340.75,197070.6971000000000010743407,199958.3471000000000010743407,3,27,54921.7000,-12.012023
1990-01-17 00:00:00,337.4,195233.4909000000000013130831,199949.0909000000000013130831,4,33,72556.2500,-15.175973999999998
1990-01-18 00:00:00,338.19,196530.4847000000000015518255,199939.8347000000000015518255,5,39,93100.0000,-15.852345
1990-01-19 00:00:00,339.15,197455.2920000000000015916159,199938.2920000000000015916159,6,40,97263.8500,-14.834173999999999
1990-01-22 00:00:00,330.38,189260.1920000000000015916159,199938.2920000000000015916159,6,40,89068.7500,-22.173381
1990-01-23 00:00:00,331.61,189688.3566000000000016711967,199935.2066000000000016711967,7,42,94037.5000,-21.285965000000004
1990-01-24 00:00:00,330.25,190875.8566000000000016711967,199935.2066000000000016711967,7,42,95225.0000,-22.423363999999992
1990-01-25 00:00:00,326.08,185307.1066000000000016711967,199935.2066000000000016711967,7,42,89656.2500,-25.546915
1990-01-26 00:00:00,325.8,186574.3139000000000017109871,199933.6639000000000017109871,8,43,93193.7500,-26.351889
1990-01-29 00:00:00,325.2,185438.2639000000000017109871,199933.6639000000000017109871,8,43,92057.7000,-27.143442999999998
1990-01-30 00:00:00,322.98,182918.0639000000000017109871,199933.6639000000000017109871,8,43,89537.5000,-29.650056999999997
1990-01-31 00:00:00,329.08,188905.5639000000000017109871,199933.6639000000000017109871,8,43,95525.0000,-23.482060000000004
1990-02-01 00:00:00,328.79,189243.0639000000000017109871,199933.6639000000000017109871,8,43,95862.5000,-23.784693000000004
1990-02-02 00:00:00,330.92,191515.6639000000000017109871,199933.6639000000000017109871,8,43,98135.1000,-21.864643000000004
1990-02-05 00:00:00,331.85,193202.1139000000000017109871,199933.6639000000000017109871,8,43,99821.5500,-20.911781000000005
1990-02-06 00:00:00,329.66,190090.6639000000000017109871,199933.6639000000000017109871,8,43,96710.1000,-22.734738
1990-02-07 00:00:00,333.75,195784.4139000000000017109871,199933.6639000000000017109871,8,43,102403.8500,-18.941786
