Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses,AveragePLPercent
2005-01-04 00:00:00,1188.05,987144.6506820000000175241439,999747.1506820000000175241439,1,71,283290.0,-22.032365000000002,0,0,nan
2005-01-05 00:00:00,1183.75,980068.1051130000000171094143,999540.6051130000000171094143,2,129,435050.0,-40.490757,0,0,nan
2005-01-06 00:00:00,1187.9,990397.0435490000000169352745,999537.0435490000000169352745,3,130,449022.500,-34.569829,0,0,nan
2005-01-07 00:00:00,1186.2,989084.5435490000000169352745,999537.0435490000000169352745,3,130,447710.000,-35.326248,0,0,nan
2005-01-10 00:00:00,1190.25,1003304.543549000000016935274,999537.0435490000000169352745,3,130,461930.00,-29.880530000000004,0,0,nan
2005-01-11 00:00:00,1182.99,994299.5435490000000169352745,999537.0435490000000169352745,3,130,452925.000,-33.781797000000005,0,0,nan
2005-01-12 00:00:00,1187.7,1002332.043549000000016935274,999537.0435490000000169352745,3,130,460957.500,-28.823181999999996,0,0,nan
2005-01-13 00:00:00,1177.45,989304.5435490000000169352745,999537.0435490000000169352745,3,130,447930.00,-36.279954,0,0,nan
2005-01-14 00:00:00,1184.5,1000249.543549000000016935274,999537.0435490000000169352745,3,130,458875.00,-29.162124000000002,0,0,nan
2005-01-18 00:00:00,1196.0,1016665.075301750000011047348,1008677.575301750000011047348,1,71,303880.00,-12.016749999999998,2,0,62.92583857442348008385744235
2005-01-19 00:00:00,1184.65,1001235.059201750000016595266,1008442.559201750000016595266,2,137,440815.00,-37.470551,2,0,nan
2005-01-20 00:00:00,1175.4,989559.373132750000015001035,1008431.873132750000015001035,3,140,438600.0,-46.370829,2,0,nan
2005-01-21 00:00:00,1167.85,976740.810497750000014782756,1008428.310497750000014782756,4,141,430275.00,-54.899584000000004,2,0,nan
2005-01-24 00:00:00,1163.75,976941.5327385000000028902884,988789.0327385000000028902884,4,71,158852.500,-29.900962000000003,2,1,-82.70676691729323308270676692
2005-01-25 00:00:00,1168.4,981864.2664460000000112849245,988571.7664460000000112849245,5,132,444135.000,-39.795378,2,1,nan
2005-01-26 00:00:00,1174.05,987909.2664460000000112849245,988571.7664460000000112849245,5,132,450180.00,-34.619102,2,1,nan
2005-01-27 00:00:00,1174.55,991599.2664460000000112849245,988571.7664460000000112849245,5,132,453870.00,-32.154505,2,1,nan
2005-01-28 00:00:00,1171.35,993689.2664460000000112849245,988571.7664460000000112849245,5,132,455960.00,-32.688642,2,1,nan
2005-01-31 00:00:00,1181.25,1002455.113111500000000031462,1002697.613111500000000031462,3,70,165827.500,-17.476725000000002,4,1,54.23437240921903498590615155
2005-02-01 00:00:00,1189.41,1010894.505497249999996123292,1002547.005497249999996123292,3,193,454507.500,-36.978937,5,1,57.35294117647058823529411765
2005-02-02 00:00:00,1193.19,1019077.328455249999995979592,1003112.328455249999995979592,2,190,452675.000,-31.968259999999997,6,1,54.28571428571428571428571429
2005-02-03 00:00:00,1189.89,1014778.767248249999995968195,1003108.767248249999995968195,3,191,452025.00,-34.673106,6,1,nan
2005-02-04 00:00:00,1203.03,1027109.000495749999979588906,1026849.000495749999979588906,2,2,7530.00,-0.3877,8,1,62.47654784240150093808630395
2005-02-07 00:00:00,1201.72,1020033.757467749999998440912,1026453.757467749999998440912,3,113,307210.00,-30.469077,8,1,nan
2005-02-08 00:00:00,1202.3,1026574.344155749999979443387,1026254.344155749999979443387,4,169,465150.00,-43.472702999999996,8,1,nan
2005-02-09 00:00:00,1191.99,1015544.344155749999979443387,1026254.344155749999979443387,4,169,454120.000,-56.708434000000004,8,1,nan
2005-02-10 00:00:00,1197.01,1023235.783433249999979208766,1026250.783433249999979208766,5,170,464090.00,-49.21014200000001,8,1,nan
2005-02-11 00:00:00,1205.3,1036392.665685749999979092806,1026662.665685749999979092806,3,168,469565.000,-36.067272,10,1,56.8169014084507042253521127
2005-02-14 00:00:00,1206.14,1039305.165685749999979092806,1026662.665685749999979092806,3,168,472477.500,-34.911919000000005,10,1,nan
2005-02-15 00:00:00,1210.12,1045938.808428499999971572620,1035393.808428499999971572620,1,111,316905.000,-18.920282999999998,12,1,56.94444444444444444444444445
2005-02-16 00:00:00,1210.34,1046771.308428499999971572620,1035393.808428499999971572620,1,111,317737.500,-17.870889000000002,12,1,nan
2005-02-17 00:00:00,1200.75,1035377.378040999999976756740,1035162.378040999999976756740,2,176,457700.00,-43.262045,12,1,nan
2005-02-18 00:00:00,1201.59,1039708.816731999999976698845,1035158.816731999999976698845,3,177,466660.00,-38.923495,12,1,nan
2005-02-22 00:00:00,1184.16,1007213.816731999999976698845,1035158.816731999999976698845,3,177,434165.00,-67.319104,12,1,nan
2005-02-23 00:00:00,1190.8,1027150.329115999999977537626,1035130.329115999999977537626,4,185,472530.00,-54.307395,12,1,nan
2005-02-24 00:00:00,1200.2,1045967.829115999999977537626,1035130.329115999999977537626,4,185,491347.500,-38.141186,12,1,nan
2005-02-25 00:00:00,1211.37,1053499.849315499999954814924,1053527.349315499999954814924,2,66,155722.500,-12.825522,14,1,67.18750
2005-02-28 00:00:00,1200.2,1042641.085513499999956499308,1053221.085513499999956499308,3,152,460790.00,-44.529277,14,1,nan
2005-03-01 00:00:00,1210.41,1052916.463201499999956523012,1053213.963201499999956523012,4,154,477472.500,-39.124135,14,1,nan
2005-03-02 00:00:00,1210.08,1048863.963201499999956523012,1053213.963201499999956523012,4,154,473420.00,-41.068337,14,1,nan
2005-03-03 00:00:00,1210.47,1045998.963201499999956523012,1053213.963201499999956523012,4,154,470555.00,-40.872676000000006,14,1,nan
2005-03-04 00:00:00,1222.12,1066292.404365999999956482468,1053422.404365999999956482468,3,153,486015.000,-28.33743,15,1,56.00
2005-03-07 00:00:00,1225.31,1068391.065969749999954085949,1059496.065969749999954085949,2,88,330915.000,-16.727424,16,1,54.28571428571428571428571429
2005-03-08 00:00:00,1219.43,1063678.782823749999937756881,1059303.782823749999937756881,3,142,474220.000,-34.178016,16,1,nan
2005-03-09 00:00:00,1207.01,1044067.722126749999937533884,1059300.222126749999937533884,4,143,456890.000,-48.45077200000001,16,1,nan
2005-03-10 00:00:00,1209.25,1049743.479236749999936595399,1059285.979236749999936595399,5,147,473660.00,-45.39934999999999,16,1,nan
2005-03-11 00:00:00,1200.08,1035408.479236749999936595399,1059285.979236749999936595399,5,147,459325.00,-56.273590999999996,16,1,nan
2005-03-14 00:00:00,1206.83,1054301.357128749999936712099,1059278.857128749999936712099,6,149,483665.00,-45.385592,16,1,nan
2005-03-15 00:00:00,1197.75,1033161.357128749999936712099,1059278.857128749999936712099,6,149,462525.000,-57.840253,16,1,nan
2005-03-16 00:00:00,1188.07,1011182.795717749999936607706,1059275.295717749999936607706,7,150,442840.000,-74.68065499999999,16,1,nan
2005-03-17 00:00:00,1190.21,1012785.671620749999936705875,1059268.171620749999936705875,8,152,453620.000,-68.77620700000001,16,1,nan
2005-03-18 00:00:00,1189.65,1011290.671620749999936705875,1059268.171620749999936705875,8,152,452125.000,-69.563449,16,1,nan
2005-03-21 00:00:00,1183.78,1000673.231246749999944212205,1000788.231246749999944212205,2,3,11345.00,-0.838802,16,7,-105.1771104512921806522197338
2005-03-22 00:00:00,1171.71,991656.689806749999949841977,1000556.689806749999949841977,3,68,298960.0,-22.416491,16,7,nan
2005-03-23 00:00:00,1172.53,993393.756238749999941672896,1000328.756238749999941672896,4,132,446845.00,-37.822724,16,7,nan
2005-03-24 00:00:00,1171.42,999678.756238749999941672896,1000328.756238749999941672896,4,132,453130.00,-35.635084,16,7,nan
2005-03-28 00:00:00,1174.28,1000396.256238749999941672896,1000328.756238749999941672896,4,132,453847.500,-32.575436999999994,16,7,nan
2005-03-29 00:00:00,1165.36,990043.756238749999941672896,1000328.756238749999941672896,4,132,443495.00,-40.550736,16,7,nan
2005-03-30 00:00:00,1181.41,1009728.756238749999941672896,1000328.756238749999941672896,4,132,463180.00,-27.820003999999997,16,7,nan
2005-03-31 00:00:00,1180.59,1009728.756238749999941672896,1000328.756238749999941672896,4,132,463180.00,-28.005001,16,7,nan
2005-04-01 00:00:00,1172.92,1002361.256238749999941672896,1000328.756238749999941672896,4,132,455812.500,-32.502427,16,7,nan
2005-04-04 00:00:00,1176.12,1006378.756238749999941672896,1000328.756238749999941672896,4,132,459830.00,-29.563225000000003,16,7,nan
2005-04-05 00:00:00,1181.39,1011246.256238749999941672896,1000328.756238749999941672896,4,132,464697.500,-24.880776,16,7,nan
